RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
010010010260000,District,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,5.19,5143696.0,3225555.0,564111.0,2531179.0,1775730.0,389805.0
010010020260000,District,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,3.85,5443479.0,3907503.0,622126.0,2253278.0,1905501.0,362160.0
010010030260000,District,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,3.64,7564187.0,5960372.0,770369.0,3128518.0,2892183.0,620882.0
010010040260000,District,CUSD 4,Mendon,Adams,UNIT,MEDIUM,5.59,6350671.0,4584398.0,671307.0,3634218.0,2318723.0,383059.0
010011720220000,District,Quincy SD 172,Quincy,Adams,UNIT,LARGE,4.04,92289055.0,48343392.0,2423593.0,39430662.0,12774845.0,8539441.0
010050010260000,District,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,4.35,9914825.0,6180557.0,1036593.0,3683050.0,2016272.0,401756.0
010090150260000,District,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,5.07,13551069.0,11347075.0,542350.0,3046836.0,7615862.0,1512178.0
010090640260000,District,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,6.05,3907039.0,2138345.0,522252.0,2220956.0,623159.0,198631.0
010092620260000,District,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,6.02,5305862.0,3144054.0,635186.0,3020371.0,1174988.0,337950.0
010690010260000,District,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,4.7,4336122.0,2879590.0,228683.0,2694413.0,385220.0,168598.0
010690060260000,District,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,5.25,4402408.0,3266104.0,225264.0,2804248.0,836115.0,234577.0
010690110260000,District,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,5.68,3323391.0,2171188.0,331887.0,2483713.0,271088.0,195695.0
010690270260000,District,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,5.05,3958635.0,2718296.0,451078.0,2238616.0,872095.0,165245.0
010691170220000,District,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,4.8,57171598.0,28194911.0,1330999.0,20718011.0,8585347.0,3498115.0
010750030260000,District,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,5.3,3514637.0,2517535.0,221758.0,1546464.0,851550.0,224342.0
010750040260000,District,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,5.79,7072846.0,2975956.0,660273.0,2251339.0,1458621.0,461221.0
010750100260000,District,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,4.23,12826218.0,8985484.0,709139.0,4850842.0,4364210.0,937784.0
010750120260000,District,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,5.64,8200560.0,4189338.0,715314.0,2991286.0,1900607.0,329039.0
010860010260000,District,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,4.35,6740794.0,4550692.0,588541.0,2103384.0,2313742.0,315119.0
010860020260000,District,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,5.29,2751405.0,1822727.0,307611.0,1146150.0,772296.0,157706.0
030030010260000,District,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,4.53,3905812.0,2830422.0,327975.0,1357749.0,1705945.0,405960.0
030030020260000,District,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,4.88,18803540.0,14288592.0,1014420.0,8425609.0,6123684.0,1408229.0
030110010260000,District,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,5.03,3749684.0,2515875.0,282108.0,2117532.0,675533.0,199741.0
030110030260000,District,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,3.42,23606047.0,17586207.0,633524.0,10439853.0,7272858.0,1401583.0
030110040260000,District,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,3.98,2543123.0,1930451.0,223982.0,1854158.0,425733.0,196698.0
030110080260000,District,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,5.06,14362028.0,10679099.0,884651.0,5454599.0,5626610.0,1218019.0
030110140240000,District,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,4.33,3140512.0,2519059.0,179898.0,904618.0,1620122.0,350824.0
030250100260000,District,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,4.41,7378060.0,5224705.0,607933.0,3020435.0,2857304.0,493652.0
030250200260000,District,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,3.9,3498561.0,2515349.0,358810.0,2397858.0,478934.0,219893.0
030250300260000,District,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,4.05,4039569.0,3053284.0,256865.0,1456319.0,1855406.0,245097.0
030250400260000,District,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,3.61,30205290.0,17271576.0,1792106.0,15349870.0,5148049.0,1723337.0
030250500260000,District,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,3.7,8920978.0,6627610.0,618643.0,4635099.0,2869003.0,608703.0
030262010260000,District,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,4.89,4082765.0,3254754.0,253593.0,1050230.0,1643639.0,380027.0
030262020260000,District,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,4.13,4232038.0,3365231.0,328996.0,1587654.0,1727360.0,535680.0
030262030260000,District,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,5.19,18886024.0,11910146.0,1057318.0,6009639.0,5829737.0,1302472.0
030262040260000,District,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,4.2,4431917.0,3323197.0,226908.0,1079179.0,2225544.0,439453.0
030680020260000,District,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,5.25,5672945.0,4279053.0,331357.0,3398640.0,1056958.0,440066.0
030680030260000,District,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,5.14,18943970.0,13169462.0,1355990.0,10712153.0,4034495.0,900410.0
030680120260000,District,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,4.76,15665127.0,11495861.0,1547477.0,6579814.0,5007455.0,1036198.0
030680220260000,District,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,4.84,7898834.0,4604677.0,453405.0,2480428.0,2533080.0,361355.0
040041000260000,District,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,6.53,95323370.0,69688406.0,1597926.0,51731104.0,27770604.0,5524812.0
