RCDTS,Type,District,City_x,County,District Type,District Size,Enrollment,Student Enrollment - Low Income %,ClassSize,AvgTeachExp,BS,MS,TeachRetRate,Teacher Avg Salary,AvgSalary,County ,Dist # ,District Name/ School Name,City_y,ELA,Math
010010010260000,District,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,559.0,48.8,17.0,11.5,56.3,43.8,92.9,36085.63,72141.72,Adams,10,Payson CUSD 1,Payson,524.3,489.1
010010020260000,District,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,602.0,24.9,20.0,13.5,41.9,58.1,91.5,41534.22,83605.24,Adams,20,Liberty CUSD 2,Liberty,500.9,485.4
010010030260000,District,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,874.0,46.7,19.0,12.5,42.9,57.1,81.3,47686.51,75068.5,Adams,30,Central CUSD 3,Camp Point,490.6,488.3
010010040260000,District,CUSD 4,Mendon,Adams,UNIT,MEDIUM,674.0,20.2,18.0,14.1,61.3,38.7,89.7,40254.81,83692.0,Adams,40,CUSD 4,Mendon,505.9,485.0
010011720220000,District,Quincy SD 172,Quincy,Adams,UNIT,LARGE,6469.0,60.7,18.0,12.0,56.9,42.6,73.6,45089.41,82764.57,Adams,1720,Quincy SD 172,Quincy,489.8,473.6
010050010260000,District,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,734.0,84.5,16.0,12.0,69.7,30.3,73.8,41230.67,85725.0,Brown,10,Brown County CUSD 1,Mount Sterling,523.5,493.0
010090150260000,District,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,1582.0,70.7,16.0,11.6,63.0,36.0,75.5,43408.09,81832.66,Cass,150,Beardstown CUSD 15,Beardstown,434.7,422.1
010090640260000,District,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,301.0,53.5,14.0,11.2,57.2,42.8,72.4,45024.46,93545.0,Cass,640,Virginia CUSD 64,Virginia,471.3,468.7
010092620260000,District,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,440.0,49.8,14.0,12.2,88.4,11.6,75.3,37318.09,92281.53,Cass,2620,A-C Central CUSD 262,Ashland,494.0,492.7
010690010260000,District,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,305.0,30.5,16.0,15.3,62.2,37.8,90.9,41429.91,88952.22,Morgan,10,Franklin CUSD 1,Franklin,516.2,475.4
010690060260000,District,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,375.0,34.1,15.0,13.5,78.7,21.3,77.4,42622.41,85320.23,Morgan,60,Waverly CUSD 6,Waverly,492.2,491.9
010690110260000,District,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,201.0,65.2,10.0,13.8,71.1,24.4,71.7,40834.29,89731.31,Morgan,110,Meredosia-Chambersburg CUSD 11,Meredosia,463.6,441.8
010690270260000,District,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,383.0,35.0,16.0,14.5,73.0,27.0,87.1,39891.9,81241.53,Morgan,270,Triopia CUSD 27,Concord,536.7,516.0
010691170220000,District,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,3372.0,55.0,19.0,12.6,67.2,31.4,83.0,45656.01,88654.71,Morgan,1170,Jacksonville SD 117,Jacksonville,485.7,469.7
010750030260000,District,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,315.0,52.1,15.0,12.5,65.3,34.7,86.5,41951.27,83314.43,Pike,30,Pleasant Hill CUSD 3,Pleasant Hill,459.4,438.9
010750040260000,District,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,382.0,58.1,12.0,13.8,70.5,29.5,71.3,39176.46,78716.67,Pike,40,Griggsville-Perry CUSD 4,Griggsville,446.8,424.1
010750100260000,District,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,1265.0,47.8,21.0,13.4,67.0,31.8,85.3,40363.74,73596.0,Pike,100,Pikeland CUSD 10,Pittsfield,505.7,480.3
010750120260000,District,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,573.0,59.7,19.0,12.8,53.6,46.4,76.4,42303.36,78043.4,Pike,120,Western CUSD 12,Barry,498.6,504.7
010860010260000,District,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,614.0,47.2,15.0,13.2,72.5,25.5,82.7,40610.16,71511.91,Scott,10,Winchester CUSD 1,Winchester,490.6,476.2
