RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
010010010260000,Adams,10,Payson CUSD 1,Payson,524.3,489.1
010010010260001,Adams,10,Seymour High School,Payson,524.3,489.1
010010020260000,Adams,20,Liberty CUSD 2,Liberty,500.9,485.4
010010020260001,Adams,20,Liberty High School,Liberty,500.9,485.4
010010030260000,Adams,30,Central CUSD 3,Camp Point,490.6,488.3
010010030260001,Adams,30,Central High School,Camp Point,490.6,488.3
010010040260000,Adams,40,CUSD 4,Mendon,505.9,485.0
010010040260001,Adams,40,Unity High School,Mendon,505.9,485.0
010011720220000,Adams,1720,Quincy SD 172,Quincy,489.8,473.6
010011720220003,Adams,1720,Quincy Sr High School,Quincy,489.9,473.8
010050010260000,Brown,10,Brown County CUSD 1,Mount Sterling,523.5,493.0
010050010260001,Brown,10,Brown County High School,Mount Sterling,523.5,493.0
010090150260000,Cass,150,Beardstown CUSD 15,Beardstown,434.7,422.1
010090150260007,Cass,150,Beardstown Jr/Sr High School,Beardstown,436.3,423.0
010090640260000,Cass,640,Virginia CUSD 64,Virginia,471.3,468.7
010090640260003,Cass,640,Virginia Jr/ Sr High School,Virginia,471.3,468.7
010092620260000,Cass,2620,A-C Central CUSD 262,Ashland,494.0,492.7
010092620260002,Cass,2620,A-C Central High School,Ashland,494.0,492.7
010690010260000,Morgan,10,Franklin CUSD 1,Franklin,516.2,475.4
010690010260001,Morgan,10,Franklin Jr/Sr High School,Franklin,516.2,475.4
010690060260000,Morgan,60,Waverly CUSD 6,Waverly,492.2,491.9
010690060260001,Morgan,60,Waverly Junior/Senior High School,Waverly,494.2,495.8
010690110260000,Morgan,110,Meredosia-Chambersburg CUSD 11,Meredosia,463.6,441.8
010690110260001,Morgan,110,Meredosia-Chambersburg High Sch,Meredosia,463.6,441.8
010690270260000,Morgan,270,Triopia CUSD 27,Concord,536.7,516.0
010690270260001,Morgan,270,Triopia Jr-Sr High School,Concord,536.7,516.0
010691170220000,Morgan,1170,Jacksonville SD 117,Jacksonville,485.7,469.7
010691170220014,Morgan,1170,Jacksonville High School,Jacksonville,485.8,470.0
010750030260000,Pike,30,Pleasant Hill CUSD 3,Pleasant Hill,459.4,438.9
010750030260002,Pike,30,Pleasant Hill High School,Pleasant Hill,468.2,448.8
010750040260000,Pike,40,Griggsville-Perry CUSD 4,Griggsville,446.8,424.1
010750040260002,Pike,40,Griggsville-Perry High School,Griggsville,449.0,426.2
010750100260000,Pike,100,Pikeland CUSD 10,Pittsfield,505.7,480.3
010750100260009,Pike,100,Pittsfield High School,Pittsfield,505.7,480.3
010750120260000,Pike,120,Western CUSD 12,Barry,498.6,504.7
010750120260001,Pike,120,Western High School,Barry,498.6,504.7
010860010260000,Scott,10,Winchester CUSD 1,Winchester,490.6,476.2
010860010260001,Scott,10,Winchester High School,Winchester,490.6,476.2
010860020260000,Scott,20,Scott-Morgan CUSD 2,Bluffs,438.3,428.3
010860020260001,Scott,20,Bluffs High School,Bluffs,438.3,428.3
030030010260000,Bond,10,Mulberry Grove CUSD 1,Mulberry Grove,484.4,488.5
030030010260001,Bond,10,Mulberry Grove Sr High School,Mulberry Grove,484.4,488.5
030030020260000,Bond,20,Bond County CUSD 2,Greenville,515.2,506.7
030030020260001,Bond,20,Bond Cty Comm Unit 2 High School,Greenville,515.2,506.7
030110010260000,Christian,10,Morrisonville CUSD 1,Morrisonville,517.1,484.3
030110010260002,Christian,10,Morrisonville High School,Morrisonville,517.1,484.3
030110030260000,Christian,30,Taylorville CUSD 3,Taylorville,501.3,500.9
030110030260006,Christian,30,Taylorville Sr High School,Taylorville,505.3,505.3
030110040260000,Christian,40,Edinburg CUSD 4,Edinburg,468.3,460.8
030110040260002,Christian,40,Edinburg High School,Edinburg,468.3,460.8
030110080260000,Christian,80,Pana CUSD 8,Pana,487.8,467.1
030110080260006,Christian,80,Pana Sr High School,Pana,487.8,467.1
030110140240000,Christian,140,South Fork SD 14,Kincaid,444.3,430.7
030110140240001,Christian,140,South Fork Jr Sr High School,Kincaid,444.3,430.7
030250100260000,Effingham,100,Altamont CUSD 10,Altamont,498.3,507.0
030250100260001,Effingham,100,Altamont High School,Altamont,498.3,507.0
030250200260000,Effingham,200,Beecher City CUSD 20,Beecher City,529.4,520.0
030250200260001,Effingham,200,Beecher City Jr-Sr High School,Beecher City,529.4,520.0
030250300260000,Effingham,300,Dieterich CUSD 30,Dieterich,482.0,494.0
030250300260001,Effingham,300,Dieterich Jr/Sr High School,Dieterich,482.0,494.0
