RCDTS,Type,District,School Type,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Teacher Retention Rate,# of 12 graders who took advanced Courses,Avg Number of days of Physical Education Per Week Per Student,Community College Remediation %,Avg Class Size - High School,Chronic Absenteeism,Number of students who took AP Exams Grade 10,Number of students who passed AP Exams Grade 12,Chronic Absenteeism - Low Income,Low Income Count
010010010260001,School,Payson CUSD 1,HIGH SCHOOL,Payson,Adams,UNIT,MEDIUM,246.0,43.9,16.0,90.6,,5.0,37.5,13.0,12.0,,,21.6,107.994
010010020260001,School,Liberty CUSD 2,HIGH SCHOOL,Liberty,Adams,UNIT,MEDIUM,281.0,22.4,20.0,84.8,23.0,3.0,20.0,22.0,2.5,,,7.8,62.943999999999996
010010030260001,School,Central CUSD 3,HIGH SCHOOL,Camp Point,Adams,UNIT,MEDIUM,245.0,42.0,15.0,83.7,15.0,5.0,32.3,15.0,11.9,,,19.6,102.89999999999999
010010040260001,School,CUSD 4,HIGH SCHOOL,Mendon,Adams,UNIT,MEDIUM,209.0,27.3,11.0,83.7,30.0,5.0,31.6,11.0,17.3,,,18.9,57.057
010011720220003,School,Quincy SD 172,HIGH SCHOOL,Quincy,Adams,UNIT,LARGE,1753.0,50.3,20.0,81.9,151.0,5.0,29.2,20.0,31.3,35.0,120.0,47.5,881.759
010050010260001,School,Brown County CUSD 1,HIGH SCHOOL,Mount Sterling,Brown,UNIT,MEDIUM,195.0,42.6,12.0,70.0,37.0,5.0,21.4,12.0,12.6,,,14.3,83.07
010090150260007,School,Beardstown CUSD 15,HIGH SCHOOL,Beardstown,Cass,UNIT,MEDIUM,891.0,72.4,15.0,77.4,25.0,5.0,46.3,19.0,3.3,14.0,,4.1,645.0840000000001
010090640260003,School,Virginia CUSD 64,HIGH SCHOOL,Virginia,Cass,UNIT,SMALL,135.0,48.1,11.0,82.6,,5.0,100.0,8.0,7.2,,,6.3,64.935
010092620260002,School,A-C Central CUSD 262,HIGH SCHOOL,Ashland,Cass,UNIT,SMALL,141.0,46.8,12.0,73.9,12.0,2.0,45.5,12.0,21.7,,,30.2,65.988
010690010260001,School,Franklin CUSD 1,HIGH SCHOOL,Franklin,Morgan,UNIT,SMALL,147.0,36.7,13.0,89.8,,3.0,50.0,11.0,18.8,,,38.2,53.949000000000005
010690060260001,School,Waverly CUSD 6,HIGH SCHOOL,Waverly,Morgan,UNIT,SMALL,172.0,28.5,15.0,76.7,,5.0,50.0,16.0,32.1,,,45.0,49.019999999999996
010690110260001,School,Meredosia-Chambersburg CUSD 11,HIGH SCHOOL,Meredosia,Morgan,UNIT,SMALL,53.0,56.6,6.0,76.5,,5.0,,6.0,35.2,,,51.9,29.998000000000005
010690270260001,School,Triopia CUSD 27,HIGH SCHOOL,Concord,Morgan,UNIT,SMALL,164.0,36.6,15.0,84.4,19.0,3.0,40.0,15.0,8.5,,,8.0,60.024
010691170220014,School,Jacksonville SD 117,HIGH SCHOOL,Jacksonville,Morgan,UNIT,LARGE,986.0,47.4,17.0,85.9,41.0,4.0,69.0,17.0,26.1,11.0,49.0,37.4,467.364
010750030260002,School,Pleasant Hill CUSD 3,HIGH SCHOOL,Pleasant Hill,Pike,UNIT,SMALL,77.0,49.4,11.0,87.5,,5.0,38.5,11.0,29.5,,,38.9,38.038
010750040260002,School,Griggsville-Perry CUSD 4,HIGH SCHOOL,Griggsville,Pike,UNIT,SMALL,101.0,65.3,10.0,67.7,,3.0,0.0,10.0,10.5,,,10.5,65.953
010750100260009,School,Pikeland CUSD 10,HIGH SCHOOL,Pittsfield,Pike,UNIT,MEDIUM,336.0,40.2,15.0,88.3,12.0,3.0,9.1,15.0,14.1,,,25.5,135.072
010750120260001,School,Western CUSD 12,HIGH SCHOOL,Barry,Pike,UNIT,MEDIUM,146.0,55.5,19.0,80.0,21.0,5.0,42.9,19.0,3.7,,,5.1,81.03
010860010260001,School,Winchester CUSD 1,HIGH SCHOOL,Winchester,Scott,UNIT,MEDIUM,178.0,40.4,10.0,81.0,23.0,5.0,40.0,10.0,14.0,,,32.7,71.91199999999999
010860020260001,School,Scott-Morgan CUSD 2,HIGH SCHOOL,Bluffs,Scott,UNIT,SMALL,64.0,53.1,11.0,68.2,,5.0,25.0,11.0,18.0,,,20.9,33.984
030030010260001,School,Mulberry Grove CUSD 1,HIGH SCHOOL,Mulberry Grove,Bond,UNIT,SMALL,108.0,41.7,11.0,76.5,22.0,5.0,58.3,11.0,1.9,,,0.0,45.036
030030020260001,School,Bond County CUSD 2,HIGH SCHOOL,Greenville,Bond,UNIT,LARGE,524.0,36.1,20.0,90.8,81.0,5.0,33.3,20.0,12.9,,,22.8,189.164
030110010260002,School,Morrisonville CUSD 1,HIGH SCHOOL,Morrisonville,Christian,UNIT,SMALL,90.0,17.8,12.0,83.3,,5.0,44.4,12.0,31.0,,,40.7,16.020000000000003
030110030260006,School,Taylorville CUSD 3,HIGH SCHOOL,Taylorville,Christian,UNIT,LARGE,761.0,41.5,15.0,86.0,84.0,5.0,42.9,15.0,30.0,,,,315.815
030110040260002,School,Edinburg CUSD 4,HIGH SCHOOL,Edinburg,Christian,UNIT,SMALL,84.0,38.1,7.0,63.6,17.0,5.0,66.7,7.0,10.6,,,25.0,32.004
030110080260006,School,Pana CUSD 8,HIGH SCHOOL,Pana,Christian,UNIT,MEDIUM,399.0,51.9,20.0,89.0,43.0,5.0,55.8,20.0,24.3,,,38.0,207.08100000000002
030110140240001,School,South Fork SD 14,HIGH SCHOOL,Kincaid,Christian,UNIT,SMALL,167.0,56.3,14.0,86.4,,5.0,83.3,11.0,11.6,,,10.3,94.02099999999999
030250100260001,School,Altamont CUSD 10,HIGH SCHOOL,Altamont,Effingham,UNIT,MEDIUM,224.0,41.5,16.0,90.6,33.0,3.0,20.0,16.0,20.4,,,30.7,92.96
030250200260001,School,Beecher City CUSD 20,HIGH SCHOOL,Beecher City,Effingham,UNIT,SMALL,150.0,44.0,14.0,95.2,,5.0,43.8,8.0,3.3,,,4.7,66.0
030250300260001,School,Dieterich CUSD 30,HIGH SCHOOL,Dieterich,Effingham,UNIT,MEDIUM,190.0,31.6,14.0,83.3,16.0,5.0,52.4,11.0,8.2,,,12.2,60.04
030250400260001,School,Effingham CUSD 40,HIGH SCHOOL,Effingham,Effingham,UNIT,LARGE,737.0,36.4,16.0,93.8,150.0,5.0,55.7,16.0,5.9,,,11.3,268.268
030250500260001,School,Teutopolis CUSD 50,HIGH SCHOOL,Teutopolis,Effingham,UNIT,MEDIUM,316.0,7.6,18.0,93.3,,5.0,34.9,18.0,1.9,,,11.1,24.016
030262010260003,School,Brownstown CUSD 201,HIGH SCHOOL,Brownstown,Fayette,UNIT,SMALL,75.0,52.0,11.0,83.3,10.0,5.0,60.0,11.0,29.7,,,50.0,39.0
030262020260002,School,St Elmo CUSD 202,HIGH SCHOOL,Saint Elmo,Fayette,UNIT,SMALL,119.0,42.0,18.0,91.2,,5.0,52.9,18.0,5.0,,,12.2,49.98
030262030260001,School,Vandalia CUSD 203,HIGH SCHOOL,Vandalia,Fayette,UNIT,MEDIUM,429.0,50.8,16.0,89.3,86.0,5.0,41.0,16.0,17.4,,,24.2,217.93200000000002
030262040260002,School,Ramsey CUSD 204,HIGH SCHOOL,Ramsey,Fayette,UNIT,SMALL,250.0,48.4,14.0,88.9,,5.0,44.4,11.0,11.6,,,21.6,121.0
030680020260001,School,Panhandle CUSD 2,HIGH SCHOOL,Raymond,Montgomery,UNIT,MEDIUM,146.0,46.6,14.0,84.0,,3.0,60.0,14.0,19.6,,,35.6,68.036
030680030260001,School,Hillsboro CUSD 3,HIGH SCHOOL,Hillsboro,Montgomery,UNIT,MEDIUM,519.0,38.3,19.0,92.4,51.0,5.0,58.3,19.0,18.8,,,33.7,198.777
030680120260001,School,Litchfield CUSD 12,HIGH SCHOOL,Litchfield,Montgomery,UNIT,MEDIUM,395.0,49.9,16.0,81.4,51.0,5.0,38.5,16.0,25.0,,,33.3,197.105
030680220260001,School,Nokomis CUSD 22,HIGH SCHOOL,Nokomis,Montgomery,UNIT,MEDIUM,304.0,43.4,16.0,90.6,16.0,5.0,40.0,15.0,2.4,,,6.0,131.936
040041000260001,School,Belvidere CUSD 100,HIGH SCHOOL,Belvidere,Boone,UNIT,LARGE,1245.0,48.6,22.0,87.7,107.0,5.0,52.6,22.0,19.5,,,24.6,605.0699999999999
040041000260002,School,Belvidere CUSD 100,HIGH SCHOOL,Belvidere,Boone,UNIT,LARGE,1515.0,32.7,22.0,91.9,136.0,5.0,40.5,22.0,18.7,16.0,25.0,30.1,495.40500000000003
040042000260003,School,North Boone CUSD 200,HIGH SCHOOL,Poplar Grove,Boone,UNIT,MEDIUM,503.0,45.3,18.0,80.5,30.0,5.0,33.3,18.0,3.4,44.0,33.0,6.2,227.85899999999998
041011220220002,School,Harlem UD 122,HIGH SCHOOL,Machesney Park,Winnebago,UNIT,LARGE,1529.0,49.2,21.0,84.3,132.0,5.0,38.3,21.0,43.2,35.0,271.0,55.1,752.268
041011220220003,School,Harlem UD 122,HIGH SCHOOL,Machesney Park,Winnebago,UNIT,LARGE,557.0,57.6,20.0,,,5.0,,20.0,21.0,35.0,271.0,29.2,320.83200000000005
041012050250001,School,Rockford SD 205,HIGH SCHOOL,Rockford,Winnebago,UNIT,LARGE,1805.0,53.2,22.0,90.0,163.0,5.0,52.7,22.0,27.1,313.0,564.0,100.0,960.2600000000001
041012050250002,School,Rockford SD 205,HIGH SCHOOL,Rockford,Winnebago,UNIT,LARGE,1864.0,54.7,19.0,89.3,82.0,5.0,50.3,19.0,25.1,26.0,24.0,31.9,1019.6080000000001
041012050250003,School,Rockford SD 205,HIGH SCHOOL,Rockford,Winnebago,UNIT,LARGE,1744.0,39.9,24.0,85.1,186.0,5.0,52.0,24.0,21.9,84.0,247.0,34.4,695.856
041012050250004,School,Rockford SD 205,HIGH SCHOOL,Rockford,Winnebago,UNIT,LARGE,1680.0,55.8,20.0,86.0,128.0,5.0,48.6,20.0,30.4,26.0,44.0,40.2,937.4399999999999
041012070160001,School,Hononegah CHD 207,HIGH SCHOOL,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,2006.0,21.3,23.0,94.2,245.0,5.0,26.1,23.0,15.3,210.0,707.0,30.4,427.27799999999996
041013200260001,School,County of Winnebago SD 320,HIGH SCHOOL,South Beloit,Winnebago,UNIT,MEDIUM,248.0,66.5,10.0,83.3,30.0,5.0,60.0,10.0,11.0,,,13.0,164.92000000000002
041013210260001,School,Pecatonica CUSD 321,HIGH SCHOOL,Pecatonica,Winnebago,UNIT,MEDIUM,256.0,20.7,14.0,95.2,14.0,5.0,50.0,14.0,5.2,,,6.4,52.992
041013220260001,School,Durand CUSD 322,HIGH SCHOOL,Durand,Winnebago,UNIT,MEDIUM,172.0,22.7,12.0,91.1,,5.0,31.6,12.0,10.1,,,15.6,39.044
041013230260001,School,Winnebago CUSD 323,HIGH SCHOOL,Winnebago,Winnebago,UNIT,MEDIUM,454.0,20.0,18.0,96.7,28.0,5.0,39.6,18.0,5.4,,,50.0,90.80000000000001
050162020170001,School,Evanston Twp HSD 202,HIGH SCHOOL,Evanston,Cook,HIGH SCHOOL,MEDIUM,3459.0,38.4,19.0,91.5,596.0,5.0,57.0,19.0,12.9,56.0,1387.0,23.4,1328.256
050162030170001,School,New Trier Twp HSD 203,HIGH SCHOOL,Winnetka,Cook,HIGH SCHOOL,LARGE,2934.0,3.7,21.0,92.9,602.0,5.0,40.6,21.0,12.4,54.0,2007.0,26.8,108.55800000000002
050162030170002,School,New Trier Twp HSD 203,HIGH SCHOOL,Northfield,Cook,HIGH SCHOOL,LARGE,991.0,3.7,22.0,85.7,,5.0,,22.0,6.0,,,21.1,36.667
050162070170001,School,Maine Township HSD 207,HIGH SCHOOL,Park Ridge,Cook,HIGH SCHOOL,LARGE,1830.0,43.7,20.0,90.4,321.0,5.0,60.6,20.0,21.6,117.0,685.0,28.4,799.7100000000002
050162070170003,School,Maine Township HSD 207,HIGH SCHOOL,Park Ridge,Cook,HIGH SCHOOL,LARGE,2397.0,7.3,21.0,92.4,460.0,5.0,38.6,21.0,19.4,238.0,1089.0,30.7,174.981
050162070170004,School,Maine Township HSD 207,HIGH SCHOOL,Des Plaines ,Cook,HIGH SCHOOL,LARGE,2059.0,34.9,21.0,93.7,350.0,5.0,61.7,21.0,20.9,183.0,687.0,27.9,718.591
050162110170001,School,Township HSD 211,HIGH SCHOOL,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,2349.0,26.9,22.0,91.7,543.0,5.0,24.1,22.0,11.2,315.0,1066.0,20.6,631.8809999999999
050162110170002,School,Township HSD 211,HIGH SCHOOL,Palatine,Cook,HIGH SCHOOL,LARGE,2594.0,15.0,22.0,95.2,504.0,5.0,14.3,22.0,11.1,447.0,1555.0,28.4,389.09999999999997
050162110170003,School,Township HSD 211,HIGH SCHOOL,Palatine,Cook,HIGH SCHOOL,LARGE,2587.0,55.0,22.0,95.9,474.0,5.0,18.1,22.0,19.5,192.0,888.0,28.0,1422.8500000000001
050162110170004,School,Township HSD 211,HIGH SCHOOL,Schaumburg,Cook,HIGH SCHOOL,LARGE,2116.0,31.6,21.0,93.0,464.0,5.0,21.1,21.0,13.8,148.0,1026.0,21.0,668.6560000000001
050162110170006,School,Township HSD 211,HIGH SCHOOL,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,1907.0,49.6,20.0,95.4,384.0,5.0,20.6,20.0,14.5,167.0,799.0,19.6,945.872
050162140170002,School,Township HSD 214,HIGH SCHOOL,Elk Grove Village,Cook,HIGH SCHOOL,LARGE,1935.0,28.2,23.0,95.8,420.0,5.0,22.3,23.0,23.3,267.0,693.0,23.4,545.67
050162140170004,School,Township HSD 214,HIGH SCHOOL,Arlington Heights,Cook,HIGH SCHOOL,LARGE,1864.0,11.5,19.0,96.6,444.0,5.0,15.5,19.0,14.7,418.0,1650.0,20.5,214.36
050162140170005,School,Township HSD 214,HIGH SCHOOL,Mt Prospect,Cook,HIGH SCHOOL,LARGE,2150.0,7.5,24.0,96.2,449.0,5.0,14.5,24.0,11.9,388.0,1465.0,24.8,161.25
050162140170006,School,Township HSD 214,HIGH SCHOOL,Wheeling,Cook,HIGH SCHOOL,LARGE,1718.0,38.7,20.0,96.9,365.0,5.0,27.9,20.0,23.7,273.0,448.0,26.7,664.866
050162140170007,School,Township HSD 214,HIGH SCHOOL,Rolling Meadows,Cook,HIGH SCHOOL,LARGE,1900.0,20.3,21.0,95.9,429.0,4.0,19.5,21.0,18.5,187.0,884.0,22.9,385.70000000000005
050162140170008,School,Township HSD 214,HIGH SCHOOL,Buffalo Grove,Cook,HIGH SCHOOL,LARGE,2004.0,16.3,21.0,96.2,444.0,5.0,26.2,21.0,19.3,331.0,1256.0,32.9,326.652
050162190170002,School,Niles Twp HSD 219,HIGH SCHOOL,Skokie,Cook,HIGH SCHOOL,LARGE,2059.0,31.8,18.0,92.5,256.0,5.0,53.8,18.0,12.6,234.0,659.0,20.1,654.7620000000001
050162190170003,School,Niles Twp HSD 219,HIGH SCHOOL,Skokie,Cook,HIGH SCHOOL,LARGE,2435.0,30.6,20.0,93.5,331.0,5.0,53.3,20.0,15.3,237.0,779.0,25.0,745.11
050162250170001,School,Northfield Twp HSD 225,HIGH SCHOOL,Northbrook,Cook,HIGH SCHOOL,LARGE,1988.0,5.8,21.0,93.2,304.0,3.0,27.8,21.0,7.9,166.0,1055.0,15.5,115.30399999999999
050162250170002,School,Northfield Twp HSD 225,HIGH SCHOOL,Glenview,Cook,HIGH SCHOOL,LARGE,3067.0,19.9,21.0,90.3,571.0,3.0,54.1,21.0,8.7,145.0,1757.0,15.5,610.333
060162000130001,School,Oak Park - River Forest SD 200,HIGH SCHOOL,Oak Park,Cook,HIGH SCHOOL,MEDIUM,3370.0,21.5,18.0,93.3,508.0,5.0,52.2,18.0,17.7,127.0,1206.0,15.7,724.55
